Name, Power, Strength, Magic, Intelligence, Speed, Defense, Poison, Rage, Corrupted, Evilness, Age, Personality, Hometown, Favorite_Color, Weakness, Height, Weight, isVillain, isLiving, isEmployed, isHuman
Green X, 30, 37, 76, 74, 92, 89, 7, 31, 24, 48, 33.83, Sarcastic, Hong Kong, 0x09251b, Fearful, 16' 0'', 58.01804, False, False, False, True
Wonder Hulk, 92, 43, 66, 78, 51, 82, 0, 13, 45, 0, 23.46, Sadistic, Zhengzhou, 0x52deff, Soft hearted, 17' 2'', 234.36007, False, False, True, False
Dark Daredevil, 64, 0, 40, 100, 80, 11, 50, 28, 42, 100, 18.00, Power hungry, Porto Alegre, 0xa130bb, Prideful, 8' 3'', 51.02968, False, False, True, False
Radioactive X, 76, 51, 89, 89, 63, 60, 45, 82, 20, 7, 43.31, Sarcastic, Buenos Aires, 0xe54430, Obsessive, 16' 3'', 207.13496, True, False, True, True
Dark Girl, 8, 14, 54, 6, 10, 3, 45, 9, 30, 18, 26.27, Calculating, Shenyang, 0x7a3047, Power addicted, 4' 9'', 9.74529, True, True, False, False
Professor Darkness, 99, 51, 90, 60, 24, 45, 21, 60, 84, 46, 50.27, Cold blooded, San Diego, 0xfe059a, Ice weakness, 15' 3'', 116.81676, False, True, False, False
Omega Claw, 74, 23, 6, 61, 24, 93, 32, 48, 96, 14, 39.69, Protective, Baghdad, 0xdffe22, Soft hearted, 17' 10'', 219.40828, True, False, False, True
Wonder Entity, 56, 86, 63, 43, 90, 25, 79, 14, 87, 87, 31.05, Power hungry, Chengdu, 0x6de54a, Fire weakness, 4' 10'', 282.18105, True, False, True, False
Super Girl, 49, 12, 26, 74, 94, 95, 11, 10, 74, 22, 18.00, Protective, Haerbin, 0x6abe4b, Trusting, 8' 0'', 261.81168, False, False, False, False
Green Hornet, 84, 94, 65, 38, 85, 9, 82, 18, 70, 9, 62.90, Power hungry, Sydney, 0x4cc1bd, Fearful, 17' 11'', 210.06672, False, True, False, True
Ms Daredevil, 63, 6, 7, 0, 99, 80, 65, 68, 0, 56, 47.83, Manipulative, Ankara, 0x22c130, Fearful, 6' 0'', 60.76255, True, False, True, True
Wonder X, 1, 52, 6, 7, 53, 25, 32, 93, 39, 29, 4489.91, Power hungry, Mumbai, 0x68b2c9, Power addicted, 17' 5'', 213.70580, True, False, False, False
The Boy, 44, 75, 17, 98, 18, 31, 64, 88, 80, 20, 63.90, Cruel, Washington, 0x71c4c9, Paranoid, 13' 10'', 34.57546, True, False, False, True
Metal Knight, 55, 91, 32, 67, 22, 40, 49, 2, 52, 49, 52.41, Calculating, Columbus, 0xa1ee77, Silver weakness, 9' 11'', 229.71106, True, True, True, False
Incredible Shadow, 59, 6, 42, 44, 85, 39, 2, 100, 51, 13, 35.82, Arrogant, Nanjing, 0x9c0aea, Stubborn, 0' 5'', 175.84662, False, True, True, False
Human Crusader, 38, 75, 98, 5, 79, 61, 88, 84, 38, 26, 42.67, Cunning, Ankara, 0x12cef3, Radiation weak, 4' 2'', 106.62903, False, False, True, True
The Crusader, 68, 84, 45, 83, 46, 52, 93, 51, 79, 7, 19.00, Honorable, Yangon, 0xf449d6, Radiation weak, 18' 10'', 98.48219, False, True, False, False
Super Lightning, 74, 29, 55, 28, 52, 57, 94, 10, 62, 38, 46.89, Power hungry, Dalian, 0x63c732, Prideful, 19' 3'', 14.87347, True, False, False, True
Super Boy, 94, 0, 72, 22, 94, 85, 86, 17, 66, 38, 58.27, Honorable, Pune, 0x74ce2f, Darkness bound, 11' 8'', 283.17884, False, False, True, False
Rocket X, 92, 24, 26, 69, 62, 41, 15, 41, 2, 43, 18.95, Cunning, Surat, 0x798814, Soft hearted, 16' 5'', 32.24799, False, True, False, False
Rocket Claw, 65, 24, 69, 34, 38, 44, 78, 37, 95, 4, 31.39, Ruthless, Chicago, 0x78e124, Naive, 2' 3'', 145.26695, False, True, False, True
Doctor X, 53, 7, 24, 47, 25, 33, 15, 17, 34, 77, 56.78, Stoic, Qingdao, 0xb51a1f, Distrustful, 6' 2'', 22.47608, True, False, False, False
Human Claw, 17, 34, 56, 11, 99, 38, 45, 11, 27, 77, 34.35, Ruthless, London, 0x899c8a, Soft hearted, 4' 0'', 90.50859, True, False, False, False
Dark Boy, 63, 78, 72, 42, 23, 42, 64, 17, 59, 3, 44.72, Loyal, Dallas, 0xf99ffa, Magic vulnerable, 19' 8'', 19.11176, False, True, False, True
Doctor Master, 31, 93, 52, 77, 94, 100, 39, 100, 37, 89, 18.00, Sarcastic, Washington, 0x180419, Short sighted, 11' 4'', 99.70479, False, True, False, True
Masked Crusader, 11, 33, 20, 58, 29, 66, 68, 86, 73, 45, 48.99, Compassionate, Philadelphia, 0x7b03a6, Hubris, 17' 2'', 248.55870, True, False, True, False
Impossible Centurion, 98, 70, 25, 57, 91, 74, 95, 87, 31, 72, 70.94, Stoic, Ahmedabad, 0xd0b4d5, Poison susceptible, 2' 2'', 36.89904, True, False, False, True
Metal Shadow, 63, 57, 79, 17, 21, 14, 24, 54, 46, 22, 46.24, Stoic, Hangzhou, 0xcff2de, Sound sensitive, 16' 1'', 240.70750, True, False, True, True
Impossible Boy, 24, 71, 2, 1, 28, 84, 66, 53, 63, 77, 21.25, Arrogant, Delhi, 0x586e8e, Technology vulnerable, 20' 11'', 5.12138, False, True, False, True
Doctor Hornet, 29, 90, 73, 68, 37, 10, 81, 77, 92, 23, 18.00, Clever, Riyadh, 0x7e835b, Hotheaded, 20' 10'', 238.96395, False, False, True, True
Omega Lightning, 48, 81, 97, 26, 76, 49, 56, 20, 43, 54, 55.82, Manipulative, Johannesburg, 0x317e8b, Hubris, 1' 11'', 174.49047, True, True, False, False
Rocket Cloak, 2, 56, 5, 27, 0, 27, 36, 67, 50, 37, 74.53, Honorable, Toronto, 0x8514a4, Guilt ridden, 9' 10'', 11.00006, False, False, False, False
Invisible Soldier, 9, 41, 80, 18, 24, 29, 39, 40, 51, 81, 29.55, Calculating, San Francisco, 0x088ace, Fearful, 15' 6'', 133.18865, False, False, True, False
